id,capitulo,titulo_capitulo,nro_articulo,texto
0,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 1°,Las personas nacen libres e iguales en dignidad y derechos.
1,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 1°,La familia es el núcleo fundamental de la sociedad.
2,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 1°,El Estado reconoce y ampara a los grupos intermedios a través de los cuales se organiza y estructura la sociedad y les garantiza la adecuada autonomía para cumplir sus propios fines específicos.
3,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 1°,"El Estado está al servicio de la persona humana y su finalidad es promover el bien común, para lo cual debe contribuir a crear las condiciones sociales que permitan a todos y a cada uno de los integrantes de la comunidad nacional su mayor realización espiritual y material posible, con pleno respeto a los derechos y garantías que esta Constitución establece."
4,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 1°,"Es deber del Estado resguardar la seguridad nacional, dar protección a la población y a la familia, propender al fortalecimiento de ésta, promover la integración armónica de todos los sectores de la Nación y asegurar el derecho de las personas a participar con igualdad de oportunidades en la vida nacional."
5,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 2º,"Son emblemas nacionales la bandera nacional, el escudo de armas de la República y el himno nacional."
6,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 3º,El Estado de Chile es unitario.
7,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 3º,"La administración del Estado será funcional y territorialmente descentralizada, o desconcentrada en su caso, de conformidad a la ley."
8,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 3º,"Los órganos del Estado promoverán el fortalecimiento de la regionalización del país y el desarrollo equitativo y solidario entre las regiones, provincias y comunas del territorio nacional."
9,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 4°,Chile es una república democrática.
10,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 5º,"La soberanía reside esencialmente en la Nación. Su ejercicio se realiza por el pueblo a través del plebiscito y de elecciones periódicas y, también, por las autoridades que esta Constitución establece. Ningún sector del pueblo ni individuo alguno puede atribuirse su ejercicio."
11,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 5º,"El ejercicio de la soberanía reconoce como limitación el respeto a los derechos esenciales que emanan de la naturaleza humana. Es deber de los órganos del Estado respetar y promover tales derechos, garantizados por esta Constitución, así como por los tratados internacionales ratificados por Chile y que se encuentren vigentes."
12,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 6º,"Los órganos del Estado deben someter su acción a la Constitución y a las normas dictadas conforme a ella, y garantizar el orden institucional de la República."
13,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 6º,"Los preceptos de esta Constitución obligan tanto a los titulares o integrantes de dichos órganos como a toda persona, institución o grupo."
14,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 6º,La infracción de esta norma generará las responsabilidades y sanciones que determine la ley.
15,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 7º,"Los órganos del Estado actúan válidamente previa investidura regular de sus integrantes, dentro de su competencia y en la forma que prescriba la ley."
16,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 7º,"Ninguna magistratura, ninguna persona ni grupo de personas pueden atribuirse, ni aun a pretexto de circunstancias extraordinarias, otra autoridad o derechos que los que expresamente se les hayan conferido en virtud de la Constitución o las leyes."
17,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 7º,Todo acto en contravención a este artículo es nulo y originará las responsabilidades y sanciones que la ley señale.
18,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 8º,El ejercicio de las funciones públicas obliga a sus titulares a dar estricto cumplimiento al principio de probidad en todas sus actuaciones.
19,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 8º,"Son públicos los actos y resoluciones de los órganos del Estado, así como sus fundamentos y los procedimientos que utilicen. Sin embargo, sólo una ley de quórum calificado podrá establecer la reserva o secreto de aquéllos o de éstos, cuando la publicidad afectare el debido cumplimiento de las funciones de dichos órganos, los derechos de las personas, la seguridad de la Nación o el interés nacional."
20,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 8º,"El Presidente de la República, los Ministros de Estado, los diputados y senadores, y las demás autoridades y funcionarios que una ley orgánica constitucional señale, deberán declarar sus intereses y patrimonio en forma pública."
21,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 8º,"Dicha ley determinará los casos y las condiciones en que esas autoridades delegarán a terceros la administración de aquellos bienes y obligaciones que supongan conflicto de interés en el ejercicio de su función pública. Asimismo, podrá considerar otras medidas apropiadas para resolverlos y, en situaciones calificadas, disponer la enajenación de todo o parte de esos bienes."
22,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 9º,"El terrorismo, en cualquiera de sus formas, es por esencia contrario a los derechos humanos."
23,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 9º,"Una ley de quórum calificado determinará las conductas terroristas y su penalidad. Los responsables de estos delitos quedarán inhabilitados por el plazo de quince años para ejercer funciones o cargos públicos, sean o no de elección popular, o de rector o director de establecimiento de educación, o para ejercer en ellos funciones de enseñanza; para explotar un medio de comunicación social o ser director o administrador del mismo, o para desempeñar en él funciones relacionadas con la emisión o difusión de opiniones o informaciones; ni podrá ser dirigentes de organizaciones políticas o relacionadas con la educación o de carácter vecinal, profesional, empresarial, sindical, estudiantil o gremial en general, durante dicho plazo. Lo anterior se entiende sin perjuicio de otras inhabilidades o de las que por mayor tiempo establezca la ley."
24,Capítulo I,BASES DE LA INSTITUCIONALIDAD,Artículo 9º,"Los delitos a que se refiere el inciso anterior serán considerados siempre comunes y no políticos para todos los efectos legales y no procederá respecto de ellos el indulto particular, salvo para conmutar la pena de muerte por la de presidio perpetuo."
25,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 10,Son chilenos:
26,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 10,"1º.- Los nacidos en el territorio de Chile, con excepción de los hijos de extranjeros que se encuentren en Chile en servicio de su Gobierno, y de los hijos de extranjeros transeúntes, todos los que, sin embargo, podrán optar por la nacionalidad chilena;"
27,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 10,"2º.- Los hijos de padre o madre chilenos, nacidos en territorio extranjero. Con todo, se requerirá que alguno de sus ascendientes en línea recta de primer o segundo grado, haya adquirido la nacionalidad chilena en virtud de lo establecido en los números 1º, 3º ó 4º;"
28,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 10,"3º.- Los extranjeros que obtuvieren carta de nacionalización en conformidad a la ley, y"
29,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 10,4º.- Los que obtuvieren especial gracia de nacionalización por ley.
30,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 10,"La ley reglamentará los procedimientos de opción por la nacionalidad chilena; de otorgamiento, negativa y cancelación de las cartas de nacionalización, y la formación de un registro de todos estos actos."
31,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 11,La nacionalidad chilena se pierde:
32,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 11,"1º.- Por renuncia voluntaria manifestada ante autoridad chilena competente. Esta renuncia sólo producirá efectos si la persona, previamente, se ha nacionalizado en país extranjero;"
33,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 11,"2º.- Por decreto supremo, en caso de prestación de servicios durante una guerra exterior a enemigos de Chile o de sus aliados;"
34,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 11,"3º.- Por cancelación de la carta de nacionalización, y"
35,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 11,4º.- Por ley que revoque la nacionalización concedida por gracia.
36,Capítulo II,NACIONALIDAD Y CIUDADANIA,Artículo 11,"Los que hubieren perdido la nacionalidad chilena por cualquiera de las causales establecidas en este artículo, sólo podrán ser rehabilitados por ley."
